County,Total CPAD Acreage,"CPAD Acres per 1,000 Inhabitants"
Alpine,474266,367.6
Inyo,6546558,334.5
Modoc,2689712,181.86
Mono,2003703,144.84
Sierra,615316,126.92
Trinity,2052766,119.97
Siskiyou,4062266,57.87
Plumas,1672709,57.65
Lassen,3021450,52.27
Mariposa,935607,28.97
Tuolumne,1457657,20.18
Del Norte,648861,18.01
Imperial,2868458,11.05
Glenn,849132,9.83
Tehama,1892926,9.75
Lake,850980,6.89
Colusa,740383,6.82
Shasta,2465233,6.22
Mendocino,2247878,5.39
San Bernardino,12867927,5.04
Humboldt,2293951,4.72
Tulare,3099338,4.23
Madera,1377575,4.19
Calaveras,662840,3.65
El Dorado,1144947,3.56
Amador,387827,2.74
Nevada,623852,2.51
San Luis Obispo,2124267,2.16
San Benito,889408,2.14
Santa Barbara,1760915,2.01
Kern,5221435,2.01
Fresno,3850607,1.93
Riverside,4673122,1.85
Placer,960108,1.67
Yuba,411821,1.33
Monterey,2121212,1.15
Butte,1073263,1.1
Napa,505857,1.04
Ventura,1189161,0.85
Marin,336285,0.66
Merced,1261432,0.53
San Diego,2712151,0.48
Yolo,653450,0.37
Santa Cruz,285713,0.33
Sonoma,1016737,0.31
Stanislaus,970173,0.19
Sutter,389436,0.17
Solano,544111,0.16
San Mateo,290479,0.16
Contra Costa,481394,0.14
Santa Clara,831659,0.12
Los Angeles,2611372,0.09
Kings,890800,0.08
Alameda,476565,0.08
Sacramento,636078,0.06
Orange,508921,0.05
San Joaquin,912595,0.03
San Francisco,30238,0.01
